Datetime,Open,High,Low,Close,Adj Close,Volume,EMA,EMASignal,VSignal,PriceSignal,TotSignal
2022-02-07 01:00:00,41864.3828125,42195.53515625,41759.63671875,42126.5546875,42126.5546875,660065280,,3,0,0,0
2022-02-07 02:00:00,42128.640625,42587.9765625,42111.9453125,42447.33203125,42447.33203125,1090531328,,3,1,0,0
2022-02-07 03:00:00,42435.1328125,42866.2734375,42393.390625,42866.2734375,42866.2734375,1038594048,,3,1,0,0
2022-02-07 04:00:00,42862.53515625,42869.88671875,42726.01171875,42805.78515625,42805.78515625,398655488,,3,0,0,0
2022-02-07 05:00:00,42812.578125,42873.86328125,42745.890625,42811.30078125,42811.30078125,754532352,,3,1,0,0
2022-02-07 06:00:00,42805.20703125,42815.30859375,42711.2890625,42753.19140625,42753.19140625,321296384,,3,1,0,0
2022-02-07 07:00:00,42755.99609375,42771.44921875,42607.15234375,42727.73046875,42727.73046875,177207296,,3,0,0,0
2022-02-07 08:00:00,42730.05078125,42748.00390625,42576.81640625,42641.76171875,42641.76171875,369080320,,3,1,0,0
2022-02-07 09:00:00,42643.6484375,42643.6484375,42327.23046875,42420.921875,42420.921875,488431616,,3,1,0,0
2022-02-07 10:00:00,42420.69921875,42607.19921875,42397.35546875,42569.84375,42569.84375,232863744,,3,1,0,0
2022-02-07 11:00:00,42574.54296875,42716.109375,42574.54296875,42695.265625,42695.265625,513810432,,3,1,0,0
2022-02-07 12:00:00,42703.19140625,42730.68359375,42559.1015625,42692.32421875,42692.32421875,431992832,,3,1,0,0
2022-02-07 13:00:00,42689.6328125,42830.23828125,42656.5,42822.390625,42822.390625,195543040,,3,0,0,0
2022-02-07 14:00:00,42826.87890625,43376.52734375,42811.65625,43366.7421875,43366.7421875,1069041664,,3,1,0,0
2022-02-07 15:00:00,43384.88671875,43774.4296875,43196.84375,43774.4296875,43774.4296875,1324056576,,3,1,0,0
2022-02-07 16:00:00,43780.99609375,43945.75,43584.9609375,43749.66796875,43749.66796875,0,,3,1,0,0
