Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-12-03 20:00:00,39565.99,39637.94,39552.98,39567.95,612.98043,2023-12-03 20:59:59.999000072,24275006.6065906,33082,236.19957,9353554.4746427,0
2023-12-03 21:00:00,39567.95,39758.54,39567.94,39710.15,550.41834,2023-12-03 21:59:59.999000072,21831933.7022287,35818,275.68039,10934568.8554637,0
2023-12-03 23:00:00,40060.71,40179.0,39777.66,39972.26,2601.04161,2023-12-03 23:59:59.999000072,103971844.1728585,81654,1269.17191,50735202.6978108,0
2023-12-04 00:00:00,39972.26,40232.93,39972.26,40211.29,2283.31125,2023-12-04 00:59:59.999000072,91578882.3831375,84237,1180.54683,47350297.4788305,0
2023-12-04 02:00:00,40604.05,40695.0,40466.4,40679.97,1951.01304,2023-12-04 02:59:59.999000072,79185192.8646416,76247,962.02733,39045428.8018977,0
2023-12-04 03:00:00,40679.98,40884.98,40669.99,40709.77,1649.45489,2023-12-04 03:59:59.999000072,67238843.8502988,53890,807.1754,32905901.738247,0
2023-12-04 04:00:00,40709.77,40945.41,40700.0,40906.44,2541.59283,2023-12-04 04:59:59.999000072,103689146.1204869,56451,1301.4065,53110062.1316559,0
2023-12-04 06:00:00,41500.01,41750.0,41336.77,41381.1,4116.63783,2023-12-04 06:59:59.999000072,170931479.4797584,102107,1932.29313,80245068.7257267,0
2023-12-04 07:00:00,41381.09,41551.97,41308.41,41441.1,2221.07832,2023-12-04 07:59:59.999000072,92034912.7394209,79310,958.44608,39718742.4650713,0
2023-12-04 08:00:00,41441.1,41731.34,41349.43,41681.9,2271.62037,2023-12-04 08:59:59.999000072,94338230.8155119,77343,1178.62142,48955632.8061899,0
2023-12-04 09:00:00,41681.89,41800.0,41527.09,41544.9,3363.40637,2023-12-04 09:59:59.999000072,140092101.3471706,76532,1336.81582,55707148.4438984,0
2023-12-04 12:00:00,41596.01,41830.0,41496.0,41799.51,4155.28084,2023-12-04 12:59:59.999000072,173120849.2549906,103895,2005.622,83548540.5028487,0
2023-12-04 13:00:00,41799.51,41914.16,41712.8,41735.92,2324.25249,2023-12-04 13:59:59.999000072,97239374.572305,79125,1123.29181,46997743.0697806,0
2023-12-04 14:00:00,41735.93,41793.36,41477.0,41645.93,2846.98574,2023-12-04 14:59:59.999000072,118438323.7585084,88063,1286.94942,53545310.3684727,0
2023-12-04 15:00:00,41645.94,41659.8,41144.87,41270.33,5126.0968,2023-12-04 15:59:59.999000072,212124976.556843,103442,1859.96493,76957824.1354465,0
2023-12-04 16:00:00,41270.32,41634.3,41179.55,41633.98,2546.37305,2023-12-04 16:59:59.999000072,105403844.0417484,65581,1404.93598,58157307.2492296,0
2023-12-04 17:00:00,41633.98,41800.0,41561.3,41614.66,2085.97983,2023-12-04 17:59:59.999000072,86893309.1975374,66018,1007.96106,41991188.9702973,0
2023-12-04 18:00:00,41614.65,41768.17,41513.33,41725.89,1502.15179,2023-12-04 18:59:59.999000072,62570626.0336866,56587,774.43313,32258142.3638393,0
2023-12-04 19:00:00,41725.88,42049.97,41708.18,41987.28,2793.53327,2023-12-04 19:59:59.999000072,117027750.7588399,89912,1544.32544,64703960.7694503,0
2023-12-04 20:00:00,41987.29,42005.99,41721.1,41764.36,2261.36802,2023-12-04 20:59:59.999000072,94625703.1287653,57205,1065.96999,44597639.2296495,0
2023-12-04 21:00:00,41764.36,42052.38,41717.64,42039.99,1742.30099,2023-12-04 21:59:59.999000072,72922010.5533338,48687,966.24503,40450935.7335752,0
2023-12-04 22:00:00,42039.99,42420.0,41855.27,41950.6,4120.62126,2023-12-04 22:59:59.999000072,173687863.2136181,107797,2221.07521,93638131.6977108,0
2023-12-04 23:00:00,41950.6,42000.0,41800.0,41991.1,2068.22172,2023-12-04 23:59:59.999000072,86649355.0212493,54120,1092.48914,45773223.7058016,0
2023-12-05 00:00:00,41991.1,41991.1,41747.21,41923.87,1687.44549,2023-12-05 00:59:59.999000072,70592451.9914807,71233,818.8734,34253866.1777053,0
2023-12-05 01:00:00,41923.87,41928.47,41626.01,41805.07,1585.77046,2023-12-05 01:59:59.999000072,66227138.0416537,79028,765.3436,31962907.7419795,0
